Ont name,Classification time (ms),Reasoner
0ad76cf9-cc08-4d87-95e6-15c8404a039b_sistent001.rdf_functional.owl,14713.5,HERMIT
0ada0275-aacc-4314-b611-4b8ab4bcdd2a_henotype_xp_go_functional.owl,2293.5,HERMIT
0b26e560-6cff-472f-b9d7-3acbe70bcbc7_Footstool.rdf_functional.owl,2107,HERMIT
0b33c9d0-245c-4854-9393-4288353ff52e_Anchovy.ttl_functional.owl,2226.5,HERMIT
0b3b564a-2455-472e-8139-62dc793add52_realmOcean.owl_functional.owl,232157,HERMIT
0b488003-f634-4521-8c42-ccd9d573792b_tools2codo.owl_functional.owl,2834.5,HERMIT
0baeddaa-9695-4c9a-8c47-5be2e025d6cb_Parameters.owl_functional.owl,1947,HERMIT
0bafde4f-41db-4a7b-bc12-1ef8039f16ff_NIFBACKEND.owl_functional.owl,3497123,HERMIT
0bbea70a-4a80-4d8e-8f13-174f40a20915_EnzyO.owl_functional.owl,3600000,HERMIT
0bd66107-ce44-4047-928e-268d8eff8aa1_h_dressing.rdf_functional.owl,1991,HERMIT
0be756d6-1b4c-49f8-91e0-bc98305eb268_Suction_cup.rdf_functional.owl,1989.5,HERMIT
0c4bc8dc-e139-4353-b6ae-1514032048d8_pathway.owl_functional.owl,2209,HERMIT
0c593ec0-1894-4be9-9277-02fe59d42a49_mod.obo_functional.owl,3192.5,HERMIT
0c5c41eb-6a00-4b7e-b79d-23f4f021f731_20060526.rdf_functional.owl,1629.5,HERMIT
0c6b2602-db93-49de-a8a8-82312011cc4e_compute.rdf_functional.owl,2168,HERMIT
0c701b3b-4333-447e-9366-5738d5b677e0_AmigoS.owl_functional.owl,-1,HERMIT
0c7a420a-33d0-4e63-8875-7f75a645de5d_cvdo.owl_functional.owl,99096.5,HERMIT
0c9b2172-a03a-4918-9875-9e2eae3fd2ad_al_process.obo_functional.owl,15864,HERMIT
0ca32d25-1762-4f09-935a-ca9c3d452452_Adhesive.ttl_functional.owl,3407,HERMIT
0ca546cc-f222-4fa9-9881-d3e43c31816b_AA_battery.rdf_functional.owl,2314.5,HERMIT
0ca99bb5-3b8b-4ad4-b900-6dba8a8506f7_provenance.owl_functional.owl,2230,HERMIT
0cad3e84-1562-4ce4-8810-37ec3ada7476_Toffifee.rdf_functional.owl,2613,HERMIT
0caf41c6-6f64-42ba-912a-ebe3880b0003_Aspic.rdf_functional.owl,2302.5,HERMIT
0cb718ad-c5b6-4ead-85d3-7a2fbb64a843_miapa.owl_functional.owl,9305.5,HERMIT
0cbd0d33-39a6-4b59-a253-ba4c1dae32f5_timeentry.owl_functional.owl,1674,HERMIT
0cc8d133-037d-4fbc-aa70-51f51bd77d1a_ballLeague.owl_functional.owl,1173,HERMIT
0cc8f9f6-a79e-4f9a-bf19-c82abb22119b_ESG_test_3.owl_functional.owl,2857.5,HERMIT
0cca6d94-f7da-4ff9-bd79-af90b4ede378_psimod.owl_functional.owl,5166.5,HERMIT
0cd2569e-7704-45cd-9d7f-e296a23da186_SMOtop1005.owl_functional.owl,3600000,HERMIT
0d0326ee-0d02-4ec8-9bf5-e05ecbf8927f_OpenDrama.owl_functional.owl,2439.5,HERMIT
0d0388f6-d7b3-4803-b2ca-5817c1953643_ontoware.owl_functional.owl,2616.5,HERMIT
0d12d021-c569-4b17-a939-00c4117ccb9b_09protege3.owl_functional.owl,2149,HERMIT
0d2463e8-8c15-49be-b6b7-fbd9b73e07da_REX_functional.owl,2105.5,HERMIT
0d2971d5-5c22-4db7-b53f-3995a07cbed7_basicplan.owl_functional.owl,1252.5,HERMIT
0d3fa3e5-3e0f-4e64-81e2-ce5ec4d5f7a8_po_anatomy.obo_functional.owl,2267.5,HERMIT
0d4cd993-db43-4a54-8410-a21809321e08_Lanark_Blue.ttl_functional.owl,1915,HERMIT
0d4cde11-4f31-4371-8ad0-2ddac970391e_ndSediment.owl_functional.owl,23461.5,HERMIT
0d57cca7-645f-4d1a-9a8e-d86f84f4720c_Beurre_Rose.ttl_functional.owl,2060,HERMIT
0d670443-2695-48fb-a5a2-2eb03ef9bc82_al_arm_saw.rdf_functional.owl,2118.5,HERMIT
0d728006-b856-4900-87d6-4ca8a301fa12_Couch.rdf_functional.owl,2072,HERMIT
0d73f4e2-ad42-4b3a-a9f8-8faa7e7df9f9_wing_table.rdf_functional.owl,2005.5,HERMIT
0d95e8ba-3231-4cf5-968d-b3693dd64ff6_oboecore.owl_functional.owl,1831,HERMIT
0d983190-bc65-4c90-ad4a-a94c010fe6ab_onto.rdf_functional.owl,1710.5,HERMIT
0da44b03-9cf2-45c0-b503-208eb7d7a15f_ehda.obo_functional.owl,7945.5,HERMIT
0dbdc7a2-b0c1-45db-ad1c-224ecd5e7223_calischrom.owl_functional.owl,3086,HERMIT
0dd9e56d-b675-4895-8bd6-feedbb8a8a79_to_anatomy.obo_functional.owl,3807,HERMIT
0de2d073-55e9-48f6-a86f-9aed3aed1602_premises662_functional.owl,3600000,HERMIT
0df7a1a3-3333-4b3c-860f-b9ed35133264_NTNames.owl_functional.owl,1848,HERMIT
0dfaad8e-e810-4a2d-bf80-c819c2d4ebd8_ntestEntry.owl_functional.owl,1199,HERMIT
0dfe564a-578f-4cb0-bd76-1f45afc8c4ea_phenAtmo.owl_functional.owl,170421,HERMIT
